tribunal_id,juez_id,cargo,situacion
238,341,Secretario,Contratado
238,345,Secretario,Efectivo
238,360,Secretario,Efectivo
239,278,Vocal,Efectivo
239,307,Secretario,Efectivo
239,389,Secretario,Efectivo
239,409,Presidente,Subrogante
239,421,Vocal,Efectivo
241,163,Presidente,Efectivo
241,234,Vocal,Efectivo
241,343,Secretario,Efectivo
241,370,Secretario,Efectivo
242,45,Juez Subrogante,Efectivo
242,59,Juez,Efectivo
242,109,Secretario,Efectivo
242,231,Juez,Efectivo
242,408,Secretario,Efectivo
243,182,Vocal,Efectivo
243,198,Presidente,Efectivo
243,215,Vocal,Efectivo
243,264,Secretario,Efectivo
243,297,Secretario,Efectivo
244,14,Secretario,Efectivo
244,47,Vocal,Efectivo
244,111,Presidente,Efectivo
244,130,Vocal,Efectivo
244,241,Secretario,Interino
244,280,Secretario,Efectivo
244,407,Secretario,Efectivo
245,4,Juez Subrogante,Efectivo
245,283,Juez Subrogante,Efectivo
245,299,Secretario,Efectivo
245,305,Prosecretario Administrativo,-
245,474,Secretario,Interino
246,113,Secretario,Efectivo
246,180,Presidente,Efectivo
246,283,Juez Subrogante,Efectivo
246,463,Juez,Efectivo
246,465,Secretario,Efectivo
247,122,Vocal,Efectivo
247,309,Juez Subrogante,Efectivo
247,326,Secretario de Cámara,Contratado
247,329,Presidenta,Efectivo
247,444,Secretario,Efectivo
248,74,Secretario,Contratado
248,119,Presidente,Efectivo
248,284,Vocal,Efectivo
248,346,Secretario,Interino
248,389,Vocal,Efectivo
248,437,Secretario,-
249,4,Presidente,Efectivo
249,60,Secretario,Contratado
249,182,Juez Subrogante,Efectivo
249,347,Juez Subrogante,Efectivo
249,395,Secretario,Efectivo
250,195,Secretario,Contratado
250,200,Vocal,Efectivo
250,209,Vocal,Efectivo
250,284,Juez Subrogante,Efectivo
250,309,Presidente,Efectivo
250,410,Juez Subrogante,Efectivo
250,416,Secretario,Efectivo
251,126,Secretario,Efectivo
251,128,Juez,Efectivo
251,132,Secretario,Efectivo
251,153,Juez Subrogante,Efectivo
251,192,Secretario,Efectivo
251,418,Presidenta,Efectivo
252,66,Secretario,Efectivo
252,410,Presidente,Efectivo
252,421,Vocal,Efectivo
253,45,Presidente,Efectivo
253,49,Vocal,Efectivo
253,173,Secretario,Efectivo
253,215,Vocal,Efectivo
253,405,Secretario,Contratado
253,462,Secretario,Efectivo
253,463,Juez Subrogante,Efectivo
254,200,Presidente,Efectivo
254,209,Vocal,Efectivo
254,347,Vocal,Efectivo
254,432,Secretario,Efectivo
255,7,Vocal,Subrogante
255,40,Secretario,Efectivo
255,88,Presidente,-
255,357,Secretario,Efectivo
256,23,Juez,Efectivo
256,179,Secretario,Contratado
256,201,Juez Subrogante,Efectivo
256,311,Secretario,Efectivo
256,322,Secretario,Efectivo
256,361,Presidente,Efectivo
257,7,Juez Subrogante,Subrogante
257,36,Secretario,Efectivo
257,88,Juez Subrogante,-
257,174,Secretario,Contratado
257,240,Juez Subrogante,Efectivo
257,446,Secretario,Contratado
258,79,Vocal 1°,Efectivo
258,255,Presidente,Efectivo
258,261,Vocal 2°,Efectivo
258,323,Secretario,Efectivo
258,492,Secretario,Efectivo
259,68,Presidente,Efectivo
259,154,Secretario,Efectivo
259,240,Vocal,Efectivo
259,261,Vocal,Efectivo
259,306,Secretario,Efectivo
260,121,Presidente,Subrogante
260,201,Vocal,Efectivo
260,236,Vocal,Subrogante
260,399,Secretario,Efectivo
260,417,Secretario,Efectivo
260,491,Secretario,Contratado
261,176,Secretario de Cámara,Efectivo
261,252,Presidente,Efectivo
261,281,Vocal,Efectivo
262,16,Secretario,Contratado
262,108,Presidente,Efectivo
262,121,Juez Subrogante,Subrogante
262,187,Secretario,Efectivo
262,209,Juez Subrogante,Efectivo
263,19,Vocal,Efectivo
263,87,Secretario,Efectivo
263,140,Secretario,Efectivo
263,153,Presidente,Efectivo
263,317,Vocal,Efectivo
264,128,Vocal,Efectivo
264,216,Vocal,Efectivo
264,382,Secretario,Efectivo
264,426,Presidenta,Efectivo
264,454,Secretario,Ad honorem
264,496,Secretario,Efectivo
265,3,Presidente,Efectivo
265,252,Vocal,Efectivo
265,283,Vocal,Efectivo
265,334,Secretario,Contratado
266,13,Vocal,Efectivo
266,189,Secretario,Efectivo
266,252,Juez Subrogante,Efectivo
266,266,Presidente,Efectivo
266,328,Secretario,Efectivo
267,71,Secretario,Interino
267,163,Juez Subrogante,Efectivo
267,234,Presidente,Efectivo
267,260,Vocal,Efectivo
267,361,Vocal,Efectivo
267,381,Secretario,Interino
267,485,Secretario,Contratado
268,203,Presidente,Efectivo
268,394,Secretario,Interino
269,28,Secretario,Efectivo
269,106,Presidente,Subrogante
269,112,Vocal,Subrogante
269,152,Secretario,Efectivo
269,291,Juez Subrogante,Efectivo
269,325,Secretario,Efectivo
269,384,Secretario,Efectivo
269,455,Secretario,Ad honorem
269,493,Secretario,Efectivo
270,112,Juez Subrogante,Subrogante
270,151,Secretario,Efectivo
270,160,Presidente,Efectivo
270,365,Secretario,Efectivo
270,440,Juez Subrogante,Efectivo
270,458,Secretario,Efectivo
270,473,Secretario,Efectivo
271,39,Secretario,Efectivo
271,139,Prosecretario Letrado,Efectivo
271,186,Secretario,Efectivo
271,291,Vicepresidente,Efectivo
271,303,Secretario,Efectivo
271,440,Presidente,Efectivo
271,490,Secretario,Efectivo
