Expediente,Fecha,Nombre,Link
CFP 3080/2022,16/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11695043&tipo=corrupcion-administrativa
CFP 2954/2022,28/09/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=11082978&tipo=corrupcion-administrativa
CFP 2579/2022,21/03/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12492770&tipo=corrupcion-administrativa
CFP 2579/2022,13/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12438522&tipo=corrupcion-administrativa
CFP 2579/2022,15/08/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11938909&tipo=corrupcion-administrativa
CFP 2579/2022,02/08/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12041147&tipo=corrupcion-administrativa
CFP 2579/2022,26/07/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11885316&tipo=corrupcion-administrativa
CFP 2579/2022,06/07/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11851415&tipo=corrupcion-administrativa
CFP 2579/2022,23/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11719735&tipo=corrupcion-administrativa
CFP 2579/2022,04/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11656545&tipo=corrupcion-administrativa
CFP 2579/2022,25/04/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11622844&tipo=corrupcion-administrativa
CFP 2579/2022,17/04/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11592409&tipo=corrupcion-administrativa
CFP 2579/2022,29/03/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11538675&tipo=corrupcion-administrativa
CFP 2579/2022,20/03/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11508023&tipo=corrupcion-administrativa
CFP 2577/2022,12/06/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,scp/include/showFile.php?acc=showFAR&id=13689290&tipo=corrupcion-administrativa
CFP 2577/2022,14/09/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,scp/include/showFile.php?acc=showFAR&id=12034445&tipo=corrupcion-administrativa
CFP 2054/2022,29/09/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11086378&tipo=corrupcion-administrativa
CFP 2054/2022,22/09/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11062584&tipo=corrupcion-administrativa
CFP 2054/2022,11/08/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10930229&tipo=corrupcion-administrativa
CFP 2054/2022,28/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10890994&tipo=corrupcion-administrativa
CFP 2054/2022,08/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10858834&tipo=corrupcion-administrativa
CFP 1714/2022,20/05/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12658211&tipo=corrupcion-administrativa
CFP 1714/2022,23/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12236141&tipo=corrupcion-administrativa
CFP 1714/2022,02/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12181133&tipo=corrupcion-administrativa
CFP 1714/2022,13/01/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11368194&tipo=corrupcion-administrativa
CFP 1534/2022,18/12/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13278636&tipo=corrupcion-administrativa
CFP 1534/2022,30/10/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13136831&tipo=corrupcion-administrativa
CFP 1534/2022,30/10/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=13136833&tipo=corrupcion-administrativa
CFP 1236/2022,04/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11654330&tipo=corrupcion-administrativa
CFP 1236/2022,04/04/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11563942&tipo=corrupcion-administrativa
CFP 1236/2022,30/03/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11544398&tipo=corrupcion-administrativa
CFP 1117/2022,22/02/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12406845&tipo=corrupcion-administrativa
CFP 1117/2022,22/02/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12407950&tipo=corrupcion-administrativa
CFP 1117/2022,07/09/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12010286&tipo=corrupcion-administrativa
CFP 1117/2022,11/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=10865958&tipo=corrupcion-administrativa
CFP 894/2022,26/05/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10722131&tipo=corrupcion-administrativa
CFP 420/2022,03/06/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12707933&tipo=corrupcion-administrativa
CFP 420/2022,04/11/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11195677&tipo=corrupcion-administrativa
CFP 206/2022,21/03/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12494658&tipo=corrupcion-administrativa
CFP 206/2022,09/02/2024,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12384667&tipo=corrupcion-administrativa
CFP 206/2022,23/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11717420&tipo=corrupcion-administrativa
CFP 206/2022,08/05/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11668488&tipo=corrupcion-administrativa
CFP 206/2022,26/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=10889122&tipo=corrupcion-administrativa
CFP 7754/2021,05/09/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12002514&tipo=corrupcion-administrativa
CFP 7402/2021,02/06/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10747225&tipo=corrupcion-administrativa
CFP 7267/2021,23/03/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10523589&tipo=corrupcion-administrativa
CFP 7267/2021,22/02/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10445477&tipo=corrupcion-administrativa
CFP 7267/2021,21/12/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10357945&tipo=corrupcion-administrativa
CFP 7264/2021,10/03/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10486648&tipo=corrupcion-administrativa
CFP 6965/2021,30/12/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10385007&tipo=corrupcion-administrativa
CFP 6965/2021,03/12/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10338381&tipo=corrupcion-administrativa
CFP 6911/2021,04/02/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10403368&tipo=corrupcion-administrativa
CFP 6869/2021,17/03/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10506654&tipo=corrupcion-administrativa
CFP 6778/2021,17/10/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,scp/include/showFile.php?acc=showFAR&id=14089911&tipo=corrupcion-administrativa
CFP 6734/2021,24/08/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10969314&tipo=corrupcion-administrativa
CFP 6675/2021,17/05/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 1,scp/include/showFile.php?acc=showFAR&id=11700054&tipo=corrupcion-administrativa
